Bolagsid;Kollektivavtal;Postkod;Ort;Telnmr;JuridiskForm;SNI;Start_Ar;Bransch;Genomnsnittlig_lön_exkl_pension;Genomsnittlig_lön_Inkl. Pension_TSEK;Total_lön;antalanstallda_UC;Omsättning_SEK;Resultat
126;0;78672;Dala-Järna;070-4547533;49;28290;1971;Tillverkning & Industri;318538;455,46;12423000;39;53941000;-939
127;0;76049;Herräng;0175-15500;49;68203;1971;Fastighetsverksamhet;391961;595,4;20382000;52;103633000;9543
128;0;77121;Ludvika;0240-86900;49;68201;1971;Fastighetsverksamhet;400816;612,59;19640000;49;238739000;24812
129;0;33129;Värnamo;0370-690700;49;27400;1971;Tillverkning & Industri;395111;568,21;35560000;90;208181000;17283
130;0;79227;Mora;0250-39400;49;25999;1971;Tillverkning & Industri;355946;515,89;39866000;112;265595000;9598
131;0;19045;Stockholm-Arlanda;08-353300;49;29320;1971;Tillverkning & Industri;383500;590,44;6136000;18;13776000;688
132;0;51483;Limmared;0325-618300;49;23130;1971;Tillverkning & Industri;412022;574,41;200655000;487;1047095000;268130
133;0;24431;Kävlinge;046-721770;49;47521;1971;Detaljhandel;320750;461,5;11547000;36;90623000;-1949
134;0;14621;Tullinge;08-6039700;49;28150;1971;Tillverkning & Industri;473360;671,21;28875000;61;170659000;-5907
135;0;40272;Göteborg;031-7446000;49;19200;1971;Tillverkning & Industri;586087;909,84;120734000;206;609051000;-71027
136;1;18712;Täby;08-7328080;49;46380;1971;Partihandel;474821;726,5;13295000;28;336464000;2436
137;0;63005;Eskilstuna;016-108070;49;25620;1971;Tillverkning & Industri;398408;635,76;19522000;49;170276000;-2885
138;0;14105;Kungens Kurva;08-6030770;49;26510;1971;Tillverkning & Industri;518833;789,83;9339000;18;41445000;1535
139;0;28821;Vinslöv;044-85700;49;32910;1971;Tillverkning & Industri;339700;483,5;10191000;30;45730000;-729
140;0;70227;Örebro;019-271330;49;46699;1971;Partihandel;375631;575,05;7137000;22;70019000;2506
141;0;20211;Malmö;040-287300;49;46750;1971;Partihandel;499297;788,25;68903000;138;1554897000;57544
142;0;73725;Fagersta;0223-45500;49;24100;1971;Tillverkning & Industri;429249;632,81;108600000;253;1639500000;93500
143;0;33525;Gnosjö;0370-332800;49;27120;1971;Tillverkning & Industri;444696;719,7;58700000;402;906400000;81000
144;0;23222;Arlöv;040-436590;49;25620;1971;Tillverkning & Industri;376615;529,28;9792000;25;40406000;747
145;0;16425;Kista;08-7951000;49;46510;1971;Partihandel;441477;636,96;70195000;159;347568000;-523
146;0;21140;Malmö;040-6080700;49;46741;1971;Partihandel;428594;670,49;15858000;37;273158000;10719
147;0;58335;Linköping;0200-210255;49;78100;1971;Bemanning & Arbetsförmedling;489846;738,5;48005000;98;125286000;2782
148;0;79227;Mora;;49;16101;1971;Tillverkning & Industri;447517;687,66;25061000;59;496243000;38076
149;0;27197;Ystad;0417-40100;49;1110;1971;Jordbruk, Skogsbruk, Jakt & Fiske;362200;514,77;12677000;35;68329000;10759
150;0;79621;Älvdalen;0251-45100;49;25730;1971;Tillverkning & Industri;358323;514,33;36549000;107;132750000;10565
151;0;56821;Skillingaryd;0370-76800;49;29320;1971;Tillverkning & Industri;416670;583,86;40417000;97;179393000;4852
152;0;57124;Nässjö;010-1226800;49;79110;1971;Resebyrå & Turism;380448;542,23;29675000;88;884343000;21783
153;0;57329;Tranås;075-2424500;49;46521;1971;Partihandel;358734;570,69;17578000;49;161991000;16990
154;0;70236;Örebro;019-274000;49;45201;1971;Reparation & Installation;412380;614,4;41238000;100;244913000;-5263
155;0;40272;Göteborg;031-3106000;49;45310;1971;Partihandel;481840;823,04;12046000;25;332431000;-37664
156;0;28521;Markaryd;0433-73700;49;28140;1971;Tillverkning & Industri;419512;613,23;67961000;162;247249000;-7073
157;0;12613;Stockholm;08-57877800;49;45310;1971;Partihandel;502234;805,57;47210000;94;190541000;-7941
158;0;10244;Stockholm;08-7522600;49;63110;1971;Företagstjänster;735465;1308,49;31625000;43;231830000;30250
159;0;10422;Stockholm;08-4622660;49;58110;1971;Media;573095;898,14;12035000;21;62380000;2357
160;0;24165;Harlösa;0435-460053;49;10120;1971;Livsmedelsframställning;356711;495,67;18549000;52;135191000;-11876
161;0;12123;Johanneshov;08-55696900;49;46900;1971;Partihandel;480763;754,82;18269000;38;118918000;5316
162;0;28521;Markaryd;0433-73000;49;28250;1971;Tillverkning & Industri;410664;598,32;447624000;1090;4050289000;951862
163;0;12118;Johanneshov;08-55668050;49;10112;1971;Livsmedelsframställning;383666;602,95;8057000;20;240746000;13101
164;0;25023;Helsingborg;042-253800;49;28990;1971;Tillverkning & Industri;430507;619,41;30566000;68;121757000;14083
