Bolagsid;Kollektivavtal;Postkod;Ort;Telnmr;JuridiskForm;SNI;Start_Ar;Bransch;Genomnsnittlig_lön_exkl_pension;Genomsnittlig_lön_Inkl. Pension_TSEK;Total_lön;antalanstallda_UC;Omsättning_SEK;Resultat
538;0;61830;Kolmården;011-398005;49;26510;1973;Tillverkning & Industri;415611;722,72;7481000;18;42397000;4552
539;0;23291;Arlöv;070-8634762;49;46699;1973;Partihandel;346500;476,25;11088000;32;58772000;921
540;0;73833;Norberg;0223-28100;49;38320;1973;Avlopp, Avfall, El & Vatten;514362;781,55;29833000;58;162070000;33937
541;0;23261;Arlöv;040-6110035;49;43310;1973;Bygg-, Design- & Inredningsverksamhet;397147;640,37;13503000;35;94789000;-2809
542;0;51253;Svenljunga;0325-13940;49;41200;1973;Bygg-, Design- & Inredningsverksamhet;346379;558,07;10045000;28;87232000;5367
543;0;31451;Unnaryd;0371-62200;49;29320;1973;Tillverkning & Industri;365508;510,86;68350000;187;506035000;-1641
544;0;79236;Mora;0250-592090;49;25110;1973;Tillverkning & Industri;408760;656,7;20438000;50;148796000;22819
545;0;11346;Stockholm;08-4419500;49;18122;1973;Tillverkning & Industri;347137;527,31;10067000;26;39665000;2131
546;0;87234;Kramfors;0612-717070;49;81210;1973;Fastighetsverksamhet;287687;404,12;124281000;432;231261000;16693
547;0;42132;Västra Frölunda;031-450850;49;46731;1973;Partihandel;371130;517,78;8536000;23;98269000;5586
548;0;33134;Värnamo;0370-699400;49;25999;1973;Tillverkning & Industri;393663;574,39;39760000;101;252370000;24191
549;0;31132;Falkenberg;0346-714340;49;25110;1973;Tillverkning & Industri;402577;587,22;18116000;45;100035000;-71
550;0;54502;Älgarås;0506-40365;49;20410;1973;Tillverkning & Industri;373566;525,53;11207000;30;100905000;32
551;0;17154;Solna;08-56420050;49;62010;1973;Data, IT & Telekommunikation;467473;777,29;8882000;17;21837000;1014
552;0;53492;Tråvad;0512-29590;49;25120;1973;Tillverkning & Industri;370065;534,13;22574000;61;147956000;16721
553;0;33331;Smålandsstenar;0371-33750;49;31021;1973;Tillverkning & Industri;347226;497,45;18403000;53;65390000;-3231
554;0;26675;Hjärnarp;0431-449200;49;46491;1973;Partihandel;432369;639,81;31563000;73;224644000;6571
555;0;27422;Skurup;0411-557600;49;82920;1973;Företagstjänster;341656;502,38;34849000;102;170733000;25118
556;0;31109;Ullared;0346-37440;49;22220;1973;Tillverkning & Industri;380681;535,05;8375000;22;51881000;3880
557;0;16124;Bromma;08-6344400;49;94111;1973;Bransch-, Arbetsgivar- & Yrkesorg.;525871;880,26;20509000;39;350101000;5588
558;1;41707;Göteborg;031-506700;49;46492;1973;Partihandel;428209;655,09;18413000;69;181469000;-2236
559;0;16999;Stockholm;010-5050000;49;71129;1973;Teknisk Konsultverksamhet;508657;770,27;1268082000;2493;3189852000;336242
560;0;64693;Gnesta;0158-30455;49;41200;1974;Bygg-, Design- & Inredningsverksamhet;383060;620,43;12641000;30;95273000;1241
561;1;25223;Helsingborg;070-8457759;49;46460;1974;Partihandel;489000;932,1;4401000;10;69664000;556
562;1;10329;Stockholm;08-7627280;49;94111;1974;Bransch-, Arbetsgivar- & Yrkesorg.;696352;1048,12;11838000;17;29038000;1461
563;0;89133;Örnsköldsvik;;49;43221;1977;Bygg-, Design- & Inredningsverksamhet;402444;552,91;7244000;22;44158000;8539
564;0;22002;Lund;046-329100;49;72190;1974;Utbildning, Forskning & Utveckling;577454;890,41;12704000;22;27591000;2244
565;0;43533;Mölnlycke;031-7503000;49;28290;1974;Tillverkning & Industri;555571;900,32;15556000;28;72649000;10673
566;0;86145;Fagervik;060-570390;49;27110;1974;Tillverkning & Industri;540700;770,7;21628000;40;192450000;16794
567;0;60160;Norrköping;011-243000;49;70100;1974;Detaljhandel;519383;786,74;123094000;2139;5673808000;293398
568;0;23162;Trelleborg;0410-10713;49;43120;1977;Bygg-, Design- & Inredningsverksamhet;477384;664,82;18618000;39;100643000;3539
569;0;33333;Smålandsstenar;0371-34200;49;25500;1974;Tillverkning & Industri;449450;720,33;22922000;51;827064000;16628
570;0;10462;Stockholm;08-6583000;49;82300;1975;Företagstjänster;562838;1162,35;17448000;31;111254000;10589
571;0;29792;Everöd;044-350300;49;16102;1975;Tillverkning & Industri;416458;580,12;9995000;24;192401000;16545
572;0;28321;Osby;0479-19600;49;24330;1975;Tillverkning & Industri;418555;631,42;18835000;45;170127000;8095
573;1;53237;Skara;0511-24030;49;10120;1975;Livsmedelsframställning;331725;550,14;13269000;44;55836000;2266
574;0;69221;Kumla;019-587580;49;15200;1975;Tillverkning & Industri;252911;345,21;8599000;34;62160000;-2291
575;0;26321;Höganäs;042-362600;49;22210;1975;Tillverkning & Industri;457975;683,3;18319000;40;228253000;18590
576;0;26538;Åstorp;042-225190;49;1472;1975;Jordbruk, Skogsbruk, Jakt & Fiske;442557;663,59;26996000;61;198066000;36865
577;0;75323;Uppsala;0771-216500;49;75000;1975;Hälsa & Sjukvård;616854;942,73;33927000;55;85190000;3273
578;0;82281;Alfta;0771-590000;49;16240;1975;Tillverkning & Industri;398709;566,84;65787000;165;377290000;20201
579;0;31275;Våxtorp;0430-30900;49;23630;1975;Tillverkning & Industri;467277;684,22;8411000;23;78304000;11338
580;0;43287;Veddige;0340-666420;49;46130;1976;Partihandel;432640;699,44;10816000;25;957017000;2459
581;0;57491;Vetlanda;0383-34500;49;25620;1976;Tillverkning & Industri;347972;504,64;38277000;110;166877000;18862
582;0;34155;Vittaryd;0372-70220;49;16232;1976;Tillverkning & Industri;370272;533,91;8146000;22;32144000;3099
583;0;57139;Nässjö;0380-555970;49;28150;1976;Tillverkning & Industri;369833;548,79;13314000;34;71236000;4097
584;0;57521;Eksjö;;49;28120;1976;Tillverkning & Industri;448428;655,31;21973000;49;146427000;16936
585;0;56393;Gränna;036-52200;49;28220;1976;Tillverkning & Industri;350400;536,17;12264000;35;57777000;9164
586;0;50115;Borås;033-171800;49;62030;1976;Data, IT & Telekommunikation;513265;793,16;40548000;79;179811000;13882
587;0;87234;Kramfors;0612-716060;49;43991;1976;Bygg-, Design- & Inredningsverksamhet;489355;684,07;22021000;45;634779000;1006
588;0;25022;Helsingborg;042-183890;49;46360;1976;Partihandel;521185;775,11;14072000;27;162036000;-7788
589;0;55650;Jönköping;036-367860;49;31090;1976;Tillverkning & Industri;363350;424,78;7267000;27;36155000;-280
590;0;43219;Varberg;0340-86500;49;47721;1976;Detaljhandel;372172;508,25;424649000;1187;2171120000;9627
591;0;26273;Ängelholm;0431-445260;49;25290;1976;Tillverkning & Industri;386861;659,94;13927000;36;81700000;4747
592;0;21119;Malmö;040-6000714;49;28230;1976;Tillverkning & Industri;573459;896,82;49891000;87;418588000;27947
593;0;56133;Huskvarna;036-387777;49;46699;1976;Partihandel;460285;765,54;9666000;24;69920000;4894
594;0;11794;Stockholm;08-50528080;49;47912;1976;Detaljhandel;464256;699,43;54318000;117;370671000;8933
595;1;61492;Söderköping;0121-13070;49;43120;1976;Bygg-, Design- & Inredningsverksamhet;409025;680,43;15952000;42;204337000;19208
596;0;23532;Vellinge;040-420052;49;45204;1976;Reparation & Installation;389705;531,35;6625000;20;39973000;4653
597;0;21614;Limhamn;0709-829159;49;41200;1976;Bygg-, Design- & Inredningsverksamhet;339600;579,32;6792000;22;54496000;9016
598;0;24534;Staffanstorp;046-256230;49;25999;1976;Tillverkning & Industri;431423;659,27;22434000;52;187172000;12748
599;0;33102;Värnamo;0370-696900;49;70220;1976;Juridik, Ekonomi & Konsulttjänster;796000;1608;19900000;25;101600000;88600
600;1;11129;Stockholm;08-7000060;49;70220;1976;Juridik, Ekonomi & Konsulttjänster;780750;1293,89;15615000;19;38424000;4736
601;0;46129;Trollhättan;020-899000;49;37000;1976;Avlopp, Avfall, El & Vatten;463552;695,79;66288000;182;611241000;54117
602;0;26272;Ängelholm;0431-10851;49;10520;1976;Livsmedelsframställning;246921;397,49;9383000;41;66538000;8250
603;0;21616;Limhamn;040-167500;49;46750;1976;Partihandel;625116;1065,7;26880000;46;608219000;42577
604;0;26735;Bjuv;042-388500;49;17290;1976;Tillverkning & Industri;455864;656,29;26896000;59;171255000;4249
605;0;21239;Malmö;08-56624814;49;46170;1976;Partihandel;528000;817,75;4224000;8;80508000;-3343
606;1;28350;Osby;0479-17880;49;31011;1976;Tillverkning & Industri;392142;564,84;19215000;49;88561000;3253
607;0;33433;Anderstorp;0371-523240;49;32501;1976;Tillverkning & Industri;329192;480,7;8559000;33;56299000;5654
608;0;19503;Märsta;08-4747440;49;45310;1976;Partihandel;542600;934,4;18991000;35;1271229000;18102
609;0;56721;Vaggeryd;0393-36200;49;17111;1976;Tillverkning & Industri;559595;849,94;26301000;47;678440000;123493
610;0;33328;Smålandsstenar;0371-34800;49;22290;1976;Tillverkning & Industri;396400;553,2;19820000;50;118351000;3281
611;0;42246;Hisings Backa;031-7881440;49;25610;1977;Tillverkning & Industri;381625;571,31;3053000;16;20660000;490
612;0;26925;Båstad;0431-445900;49;46900;1977;Partihandel;414531;590,64;19483000;47;166206000;4366
613;0;70227;Örebro;019-361030;49;43210;1977;Bygg-, Design- & Inredningsverksamhet;364000;496,91;9464000;44;51884000;2451
614;0;17543;Järfälla;072-2518941;49;32501;1977;Tillverkning & Industri;492657;765,27;18721000;62;79116000;-9554
615;0;33525;Gnosjö;0370-331800;49;25620;1977;Tillverkning & Industri;317603;446,9;18421000;58;113593000;9753
616;0;26243;Ängelholm;0431-456060;49;43341;1977;Bygg-, Design- & Inredningsverksamhet;318212;507,54;14956000;48;37115000;1158
617;1;59321;Västervik;0490-258400;49;25730;1977;Tillverkning & Industri;375363;589,51;16516000;39;56100000;3229
618;0;22591;Lund;046-144065;49;1302;1977;Jordbruk, Skogsbruk, Jakt & Fiske;345303;529,57;11395000;37;67715000;7509
619;0;10536;Stockholm;08-6192400;49;58131;1977;Media;422162;660,53;15620000;32;55643000;937
620;0;80139;Gävle;0771-908000;49;68320;1977;Fastighetsverksamhet;356218;517,48;75162000;211;315732000;15435
621;0;12630;Hägersten;08-180901;49;45202;1977;Reparation & Installation;315800;558,05;6316000;20;34276000;1044
622;0;41502;Göteborg;031-7077550;49;46434;1977;Partihandel;344771;508,2;12067000;35;132040000;10400
623;0;59581;Mjölby;0142-86000;49;28220;1977;Tillverkning & Industri;357143;505,1;767144000;2148;6660750000;235165
624;0;43632;Askim;031-7485600;49;71122;1977;Teknisk Konsultverksamhet;513542;658,26;66247000;129;176881000;22173
625;0;12830;Skarpnäck;072-2019953;49;43223;1979;Bygg-, Design- & Inredningsverksamhet;427736;656;8127000;21;50891000;1815
626;0;60223;Norrköping;011-368880;49;43210;1979;Bygg-, Design- & Inredningsverksamhet;414450;639,82;8289000;28;45563000;3483
627;0;12613;Stockholm;08-56461480;49;33200;1979;Reparation & Installation;511500;771,5;22506000;44;148215000;5482
628;0;20021;Malmö;040-76115;49;32502;1979;Tillverkning & Industri;381884;449,45;9929000;22;19535000;929
629;0;25466;Helsingborg;042-252100;49;43912;1979;Bygg-, Design- & Inredningsverksamhet;383500;600,1;12272000;30;53872000;2817
630;0;25013;Helsingborg;042-251500;49;46731;1979;Partihandel;398205;554,76;13539000;34;154786000;28975
631;0;15242;Södertälje;08-55441300;49;43210;1979;Bygg-, Design- & Inredningsverksamhet;353520;457,21;8838000;33;45907000;8921
632;0;19427;Upplands Väsby;08-59000600;49;28210;1979;Tillverkning & Industri;383494;599,05;34131000;93;347654000;-24922
633;0;33372;Bredaryd;0370-88588;49;22290;1979;Tillverkning & Industri;348333;613,49;12540000;35;67071000;5052
634;0;53521;Kvänum;0512-797700;49;31022;1979;Tillverkning & Industri;458956;653,25;74351000;162;229978000;-1121
635;0;24222;Hörby;0415-51220;49;43120;1979;Bygg-, Design- & Inredningsverksamhet;405944;702,92;14614000;40;72193000;3466
636;0;21143;Malmö;040-124886;49;10710;1979;Livsmedelsframställning;342187;511,73;5475000;15;15356000;652
637;0;50635;Borås;033-488990;49;13960;1979;Tillverkning & Industri;349555;600,54;12584000;28;32179000;-1873
638;0;43267;Veddige;0340-646600;49;45310;1979;Partihandel;434500;658,83;7821000;18;59501000;8182
639;0;33142;Värnamo;0370-694500;49;25620;1979;Tillverkning & Industri;401522;582,05;17667000;44;116874000;21311
640;0;26383;Höganäs;042-338000;49;24100;1980;Tillverkning & Industri;496872;698,29;300111000;604;4384102000;958645
641;0;42131;Västra Frölunda;031-891290;49;43341;1980;Bygg-, Design- & Inredningsverksamhet;380344;602,19;23201000;67;76493000;3534
642;0;57325;Tranås;0140-385530;49;27900;1980;Tillverkning & Industri;308346;438,39;15109000;49;65010000;964
643;0;26383;Höganäs;042-338500;49;70100;1980;Bank, Finans & Försäkring;2076923;4000;27000000;3126;8309000000;164000
644;1;18714;Täby;08-6300140;49;46492;1980;Partihandel;360576;560,82;9375000;22;31646000;-82
645;0;25225;Helsingborg;042-186000;49;50101;1980;Transport & Magasinering;406355;666,03;90211000;222;699460000;143871
646;0;30004;Halmstad;035-166767;49;25610;1983;Tillverkning & Industri;337208;539,19;8093000;26;42467000;5668
647;0;21753;Malmö;040-100830;49;47410;1981;Detaljhandel;400714;586,09;8415000;22;58153000;2349
648;0;59325;Västervik;0490-82260;49;28960;1981;Tillverkning & Industri;383454;564,26;8436000;27;36467000;4614
649;0;28261;Bjärnum;0451-775850;49;30990;1983;Tillverkning & Industri;351375;430,39;11244000;36;40879000;3147
650;0;33424;Anderstorp;0371-587200;49;30920;1981;Tillverkning & Industri;375367;554,71;32657000;87;308022000;-6121
651;0;33124;Värnamo;0370-333700;49;29320;1981;Tillverkning & Industri;351979;500,57;34142000;97;276739000;24707
652;0;19596;Rosersberg;08-59038650;49;43210;1981;Bygg-, Design- & Inredningsverksamhet;494900;693,5;4949000;10;16226000;2333
653;0;43153;Mölndal;031-886344;49;71122;1981;Teknisk Konsultverksamhet;599833;870,22;10797000;18;90718000;16471
654;0;17770;Järfälla;08-7549015;49;28220;1981;Tillverkning & Industri;462760;683,96;11569000;25;39736000;-413
655;0;87031;Mjällom;0613-722200;49;25620;1981;Tillverkning & Industri;320400;474,52;12816000;46;74360000;2840
656;0;73427;Hallstahammar;0220-222290;49;24310;1981;Tillverkning & Industri;408850;602,54;27393000;67;333959000;2150
657;0;27139;Ystad;0411-79500;49;33110;1981;Reparation & Installation;315291;454,08;7567000;24;69562000;1552
658;0;57823;Aneby;0380-47100;49;22210;1981;Tillverkning & Industri;443938;634,68;28856000;65;255598000;26337
659;0;51463;Dalstorp;0321-532500;49;29320;1981;Tillverkning & Industri;363649;516;86185000;241;487701000;-26270
660;0;34293;Hjortsberga;0472-550950;49;31011;1981;Tillverkning & Industri;332896;493,59;19308000;58;98828000;-3418
661;1;19427;Upplands Väsby;08-59410950;49;46691;1981;Partihandel;516971;749,89;18094000;35;105365000;1953
662;0;43424;Kungsbacka;0300-568800;49;16231;1981;Tillverkning & Industri;422364;623,99;89119000;211;900793000;92011
663;0;21377;Malmö;040-210480;49;43222;1981;Bygg-, Design- & Inredningsverksamhet;444312;666,71;21327000;48;220525000;6264
664;0;57696;Vrigstad;010-4341000;49;16231;1981;Tillverkning & Industri;329717;456,29;96937000;294;790297000;-2548
665;0;85103;Sundsvall;060-141770;49;47531;1981;Detaljhandel;364205;558,12;12383000;25;30113000;5982
666;0;53530;Kvänum;0512-29850;49;25620;1981;Tillverkning & Industri;397486;557,04;29414000;74;154468000;7922
667;0;16440;Kista;08-7930900;49;62020;1981;Data, IT & Telekommunikation;508489;707,68;23899000;41;35238000;197
668;0;44240;Kungälv;042-331170;49;46699;1981;Partihandel;641631;991;12191000;19;109311000;2454
669;0;28323;Osby;0479-17300;49;23120;1981;Tillverkning & Industri;399578;570,47;33165000;83;166422000;12901
670;0;50113;Borås;033-225600;49;46762;1981;Partihandel;406585;581,73;16670000;41;220670000;9095
671;1;26135;Landskrona;0418-485500;49;28250;1981;Tillverkning & Industri;410170;617,8;16817000;46;74660000;3754
672;0;54136;Skövde;0500-495060;49;25500;1981;Tillverkning & Industri;352923;518,81;9176000;26;44789000;1876
673;1;14175;Kungens Kurva;08-55647700;49;27900;1981;Tillverkning & Industri;369136;635,05;8121000;20;33734000;1277
674;0;45493;Brastad;0523-40405;49;29102;1981;Tillverkning & Industri;375475;604,65;15019000;40;73837000;5964
675;0;70225;Örebro;019-209660;49;46720;1981;Partihandel;383631;640,6;7289000;20;68324000;2385
676;0;24534;Staffanstorp;046-207900;49;38320;1981;Avlopp, Avfall, El & Vatten;504000;990,33;13608000;27;163466000;1756
677;0;54334;Tibro;0504-19800;49;31011;1981;Tillverkning & Industri;369200;528,98;18460000;50;83120000;-1944
678;0;41103;Göteborg;010-7075500;49;55103;1981;Hotell & Restaurang;369875;541,44;11836000;34;259663000;21025
679;1;17225;Sundbyberg;08-7053950;49;71121;1981;Bygg-, Design- & Inredningsverksamhet;569956;845,26;13109000;23;591824000;-75230
680;0;71323;Nora;0587-81880;49;24330;1981;Tillverkning & Industri;405089;619,21;22685000;56;238364000;6001
681;0;50711;Borås;033-205440;49;46420;1981;Partihandel;466176;696,41;7925000;17;60612000;8780
682;0;71230;Hällefors;0591-63220;49;28920;1981;Tillverkning & Industri;415757;591,73;13720000;33;93131000;4098
683;1;43133;Mölndal;;49;42110;1981;Bygg-, Design- & Inredningsverksamhet;499071;752,55;20961000;42;577084000;44504
684;0;12904;Hägersten;08-295800;49;43210;1981;Bygg-, Design- & Inredningsverksamhet;532260;523;24484000;39;43140000;277
685;0;43135;Mölndal;031-869700;49;62020;1981;Data, IT & Telekommunikation;558255;754,27;26238000;45;57870000;-5782
686;0;71832;Frövi;0581-37780;49;25120;1981;Tillverkning & Industri;250346;364,27;12267000;49;63316000;7730
687;0;29162;Kristianstad;044-7803010;49;46699;1981;Partihandel;494470;691,5;8406000;20;41283000;2621
688;0;55592;Jönköping;036-61045;49;16231;1981;Tillverkning & Industri;278000;402,39;5282000;18;20261000;530
689;0;51442;Limmared;0325-79950;49;13921;1981;Tillverkning & Industri;310176;495,47;5273000;17;20993000;1696
690;0;44240;Kungälv;0303-243090;49;43210;1981;Bygg-, Design- & Inredningsverksamhet;388282;544,88;15143000;49;61236000;8770
691;0;27394;Tomelilla;0414-28500;49;10130;1981;Livsmedelsframställning;380582;551,3;52901000;139;313579000;4311
692;0;19426;Upplands Väsby;08-6255800;49;52290;1981;Transport & Magasinering;463870;626,96;164210000;354;1192699000;-452980
693;0;16961;Solna;08-271419;49;58110;1981;Media;308333;396,32;5550000;19;10993000;207
694;0;19402;Upplands Väsby;08-6302900;49;46420;1981;Partihandel;418192;619,19;10873000;26;93220000;-6149
695;0;24330;Höör;0413-20084;49;10710;1981;Livsmedelsframställning;298695;411,57;6870000;21;15316000;-833
696;0;59805;Mariannelund;0496-70700;49;16233;1982;Tillverkning & Industri;397666;564,52;52492000;132;221482000;21994
697;0;85125;Sundsvall;060-139400;49;71122;1982;Teknisk Konsultverksamhet;603328;928,18;44043000;73;381035000;24902
698;0;60006;Norrköping;011-282200;49;17290;1982;Tillverkning & Industri;454727;665,93;25010000;57;222030000;8468
699;0;54131;Skövde;0500-483065;49;1620;1982;Jordbruk, Skogsbruk, Jakt & Fiske;3707500;561,58;14830000;40;147615000;4423
700;0;57421;Vetlanda;0383-763600;49;25110;1982;Tillverkning & Industri;425088;683,54;33582000;83;366580000;47473
701;0;55593;Jönköping;036-364670;49;46440;1982;Partihandel;365846;517,46;9512000;26;109163000;2009
702;0;73271;Fellingsbro;0581-628160;49;46141;1982;Partihandel;309571;535,52;6501000;21;50364000;8945
703;0;63229;Eskilstuna;016-155750;49;28920;1982;Tillverkning & Industri;385600;453,77;11568000;40;55009000;563
704;0;57123;Nässjö;0380-553800;49;46410;1982;Partihandel;574604;808,23;24708000;122;297885000;11594
705;1;12617;Stockholm;08-7810400;49;58190;1982;Media;409212;572,42;13504000;33;58916000;2617
706;0;11692;Stockholm;08-6984300;49;71110;1982;Bygg-, Design- & Inredningsverksamhet;618131;1006,6;56250000;91;107302000;-25089
707;0;13647;Haninge;08-7771500;49;43221;1982;Bygg-, Design- & Inredningsverksamhet;397416;709,41;9538000;22;39348000;533
708;0;41263;Göteborg;031-7617200;49;29320;1982;Tillverkning & Industri;321819;608,05;210792000;512;1770775000;19317
709;0;82421;Hudiksvall;0650-94855;49;46610;1982;Partihandel;450791;823,88;32457000;174;803909000;11218
710;0;78127;Borlänge;0243-257800;49;43991;1982;Transport & Magasinering;454829;692,49;18648000;41;1052435000;12080
711;0;41276;Göteborg;010-2502000;49;92000;1982;Kultur, Nöje & Fritid;300682;50,64;49312000;164;547923000;5324
712;1;51121;Kinna;0320-49000;49;46410;1982;Partihandel;435666;634,21;6535000;14;46409000;5779
713;1;29635;Åhus;044-240043;49;86230;1982;Hälsa & Sjukvård;409500;538,25;1638000;4;4340000;903
714;0;12044;Årsta;08-811160;49;46310;1982;Partihandel;207142;286,54;7250000;35;32974000;-1881
715;0;59222;Vadstena;0143-12580;49;28290;1982;Tillverkning & Industri;465441;683,88;55853000;120;246946000;-7635
716;0;26122;Landskrona;010-4567000;49;45201;1982;Reparation & Installation;343984;516,89;22359000;65;306078000;17659
717;0;18752;Täby;08-51442400;49;47112;1982;Detaljhandel;295300;427,1;5906000;21;62372000;1013
718;0;40093;Göteborg;031-7074840;49;10130;1982;Livsmedelsframställning;393360;562,82;47990000;122;386435000;10438
719;0;43632;Askim;031-7485280;49;46699;1983;Partihandel;408000;649,14;7344000;22;96245000;8109
720;0;43145;Mölndal;0320-205660;49;71122;1983;Teknisk Konsultverksamhet;435991;657,54;53627000;123;99554000;4413
721;0;33129;Värnamo;0370-374700;49;25610;1983;Tillverkning & Industri;426047;597,62;17894000;42;102259000;8380
722;0;22100;Lund;010-1227000;49;35130;1983;Avlopp, Avfall, El & Vatten;518765;768,94;33201000;64;824064000;236285
723;0;86151;Söråker;060-40800;49;24340;1983;Tillverkning & Industri;405964;593,96;11367000;28;94676000;-6957
724;0;56435;Bankeryd;036-377190;49;27400;1983;Tillverkning & Industri;396379;553,17;11495000;29;86964000;18461
725;0;43137;Mölndal;031-7061980;49;28410;1983;Tillverkning & Industri;537190;982,25;11281000;20;59989000;5322
726;0;82492;Hudiksvall;0650-24400;49;25110;1983;Tillverkning & Industri;492151;700,33;38880000;79;136510000;7808
727;1;41834;Göteborg;031-245168;49;25620;1983;Tillverkning & Industri;385529;680,94;6554000;16;32627000;1628
728;0;72132;Västerås;021-414140;49;25110;1983;Tillverkning & Industri;421200;636,38;8424000;21;34744000;2086
729;1;41290;Göteborg;031-200100;49;70220;1983;Bank, Finans & Försäkring;477090;738,67;10496000;139;598109000;31353
730;0;77194;Ludvika;0240-37610;49;28920;1983;Tillverkning & Industri;429419;634,87;13312000;31;154459000;22217
731;0;42321;Torslanda;;49;10710;1983;Livsmedelsframställning;436752;630,67;52847000;121;445664000;33842
732;0;57450;Ekenässjön;0383-34800;49;31011;1983;Tillverkning & Industri;375327;596,82;44664000;119;419889000;20265
733;0;43122;Mölndal;031-679850;49;33110;1983;Reparation & Installation;558960;845,63;28507000;51;311874000;25841
734;0;24123;Eslöv;0413-13870;49;25110;1983;Tillverkning & Industri;568071;894,93;15906000;28;278526000;25234
735;1;18173;Lidingö;08-7667000;49;46492;1983;Partihandel;447491;685,76;54594000;129;175393000;1266
736;0;14250;Skogås;08-990900;49;43999;1983;Bygg-, Design- & Inredningsverksamhet;352138;508;12677000;36;60646000;-545
737;0;21225;Malmö;010-4340400;49;17290;1983;Tillverkning & Industri;449136;874,32;19762000;34;109557000;6883
738;0;12123;Johanneshov;08-7222500;49;70100;1984;Företagstjänster;461793;682,12;259066000;3145;14887774000;-177736
739;0;72594;Västerås;021-24800;49;38311;1983;Avlopp, Avfall, El & Vatten;337812;466,52;5405000;21;25905000;1162
740;0;53521;Kvänum;010-8880000;49;23610;1987;Tillverkning & Industri;367565;527,57;201426000;548;1279960000;101321
741;0;44116;Alingsås;0322-668530;49;26120;1983;Tillverkning & Industri;327115;449,42;8505000;26;38864000;1024
742;0;25109;Helsingborg;042-197100;49;46420;1983;Partihandel;438207;700,35;35933000;74;589318000;-12156
743;0;42130;Västra Frölunda;031-492860;49;43999;1983;Bygg-, Design- & Inredningsverksamhet;405714;698,64;11360000;22;47317000;4112
744;0;74694;Häggeby;018-344270;49;20150;1983;Tillverkning & Industri;420312;618;13450000;32;176643000;14052
745;0;76122;Norrtälje;0176-79300;49;26110;1983;Tillverkning & Industri;387828;511,67;27148000;70;207459000;15634
746;0;43499;Kungsbacka;0300-22320;49;25210;1984;Tillverkning & Industri;372300;563,3;3723000;10;22669000;774
747;0;54134;Skövde;0500-418075;49;73111;1983;Reklam, Pr & Marknadsundersökning;304120;442,64;7603000;28;21176000;1130
748;0;86136;Timrå;060-671230;49;22210;1984;Tillverkning & Industri;500826;581,15;11519000;20;24323000;-25295
749;0;24724;Dalby;046-205600;49;10420;1983;Livsmedelsframställning;420662;568,26;32391000;80;488940000;17591
750;0;82735;Ljusdal;0651-767900;49;41200;1983;Bygg-, Design- & Inredningsverksamhet;398930;574,7;17154000;43;90492000;4143
751;0;14175;Kungens Kurva;08-53189360;49;45201;1984;Reparation & Installation;376968;579,21;12063000;29;38407000;-1071
752;0;43423;Kungsbacka;0300-18500;49;28220;1983;Tillverkning & Industri;486400;703,6;29184000;60;192728000;42343
753;0;26135;Landskrona;0418-473473;49;50301;1983;Transport & Magasinering;484240;693,4;12106000;25;40217000;5180
754;0;17129;Solna;08-230240;49;78200;1983;Bemanning & Arbetsförmedling;371595;534,64;17465000;47;34396000;5771
755;0;14250;Skogås;08-4482950;49;25620;1984;Tillverkning & Industri;455650;654,1;18226000;40;65242000;7898
756;0;59241;Vadstena;0143-29890;49;25610;1984;Tillverkning & Industri;342285;528,5;7188000;14;18538000;482
757;0;50462;Borås;033-290080;49;43290;1984;Bygg-, Design- & Inredningsverksamhet;405588;588,94;13790000;35;64586000;2137
758;0;43121;Mölndal;031-7062800;49;26510;1984;Tillverkning & Industri;524473;802,26;19930000;39;97427000;12291
759;0;29421;Sölvesborg;0456-13253;49;13922;1984;Tillverkning & Industri;262851;470,92;7097000;25;35996000;4225
760;1;14553;Norsborg;08-4647721;49;46420;1984;Partihandel;441833;638,83;2651000;6;36057000;779
761;0;12421;Bandhagen;08-7494900;49;46731;1984;Partihandel;501409;735,73;11031000;22;143968000;15234
762;0;40020;Göteborg;031-7260000;49;70220;1984;Juridik, Ekonomi & Konsulttjänster;1086629;1860,63;58678000;54;127861000;3157
763;0;54521;Töreboda;0506-19000;49;25120;1984;Tillverkning & Industri;381267;547,58;105611000;277;987700000;235444
764;0;50464;Borås;033-204300;49;46620;1984;Partihandel;420294;631,06;14290000;34;86274000;-8436
765;0;40125;Göteborg;031-3825000;49;46434;1984;Partihandel;424573;615,83;265783000;626;3237707000;49541
766;0;41780;Göteborg;031-7210000;49;71129;1984;Teknisk Konsultverksamhet;486835;719,65;118301000;243;282941000;16185
767;0;70215;Örebro;019-323700;49;25290;1984;Tillverkning & Industri;261608;454,42;6017000;24;33321000;4
768;0;87142;Härnösand;0611-83780;49;28220;1984;Tillverkning & Industri;407602;585,27;29755000;73;143995000;5619
769;0;43437;Kungsbacka;0300-562800;49;26400;1984;Tillverkning & Industri;401056;558,86;35293000;88;169801000;43203
770;0;40523;Göteborg;031-7511000;49;52290;1984;Transport & Magasinering;495723;799,23;60974000;123;114738000;1939
771;0;71621;Fjugesta;0585-81800;49;22210;1984;Tillverkning & Industri;414277;604,39;14914000;36;142388000;6706
772;0;16353;Spånga;08-56473350;49;43912;1984;Bygg-, Design- & Inredningsverksamhet;395909;621,64;8710000;25;42400000;3883
